density,temperature,delta_phi,substance_argon,substance_methane,substance_water
20929.29355555556,680,-0.6230299852537833,0,0,1
21494.95011111111,680,-0.6015296924562089,0,0,1
22060.606666666667,680,-0.5805799304417738,0,0,1
22626.26322222222,680,-0.5601923372019778,0,0,1
23191.919777777777,680,-0.5403784851670549,0,0,1
23757.57633333333,680,-0.5211482904559961,0,0,1
24323.232888888888,680,-0.5025092843662469,0,0,1
24888.889444444445,680,-0.4844667344664521,0,0,1
25454.546,680,-0.467024310545768,0,0,1
26020.20255555556,680,-0.4501849228650332,0,0,1
26585.85911111111,680,-0.4339514422107375,0,0,1
27151.515666666663,680,-0.4183271542799147,0,0,1
27717.172222222223,680,-0.403315937188772,0,0,1
28282.828777777777,680,-0.3889222418020482,0,0,1
28848.48533333333,680,-0.3751509885897346,0,0,1
29414.141888888887,680,-0.3620074814714911,0,0,1
29979.798444444445,680,-0.3494973996161216,0,0,1
30545.455,680,-0.3376268838271538,0,0,1
31111.111555555555,680,-0.326402699692481,0,0,1
31676.768111111112,680,-0.3158324415100947,0,0,1
32242.424666666662,680,-0.3059247388296019,0,0,1
32808.081222222216,680,-0.296689436757263,0,0,1
33373.73777777777,680,-0.2881377356833524,0,0,1
33939.39433333333,680,-0.2802822899674694,0,0,1
34505.05088888889,680,-0.2731372745255598,0,0,1
35070.70744444444,680,-0.2667184319491588,0,0,1
35636.363999999994,680,-0.2610431116669754,0,0,1
36202.02055555555,680,-0.2561303088116397,0,0,1
36767.67711111111,680,-0.2520007060555728,0,0,1
37333.333666666666,680,-0.2486767182656215,0,0,1
37898.990222222215,680,-0.2461825380441171,0,0,1
38464.64677777777,680,-0.2445441799883834,0,0,1
39030.30333333333,680,-0.2437895223044845,0,0,1
39595.95988888889,680,-0.2439483456696528,0,0,1
40161.61644444444,680,-0.2450523704770291,0,0,1
40727.273,680,-0.2471352945322588,0,0,1
41292.92955555555,680,-0.2502328337984172,0,0,1
41858.58611111111,680,-0.2543827689101943,0,0,1
42424.242666666665,680,-0.2596249999755868,0,0,1
42989.899222222215,680,-0.2660016117447037,0,0,1
43555.55577777777,680,-0.2735569506486958,0,0,1
44121.21233333333,680,-0.2823377145777882,0,0,1
44686.86888888889,680,-0.2923930556470357,0,0,1
45252.52544444444,680,-0.3037746956407919,0,0,1
45818.18199999999,680,-0.3165370533710574,0,0,1
46383.83855555555,680,-0.3307373828500566,0,0,1
46949.49511111111,680,-0.3464359209726477,0,0,1
47515.151666666665,680,-0.3636960433277385,0,0,1
48080.808222222215,680,-0.382584426798974,0,0,1
48646.46477777777,680,-0.4031712177577931,0,0,1
49212.12133333333,680,-0.4255302048774888,0,0,1
49777.777888888886,680,-0.4497389958853415,0,0,1
50343.43444444444,680,-0.4758791978997051,0,0,1
50909.09099999999,680,-0.5040366013530775,0,0,1
51474.74755555555,680,-0.5343013678627243,0,0,1
52040.40411111111,680,-0.5667682227645415,0,0,1
52606.06066666666,680,-0.6015366533619303,0,0,1
53171.71722222221,680,-0.6387111142515665,0,0,1
53737.37377777777,680,-0.678401241367842,0,0,1
54303.03033333333,680,-0.7207220766330851,0,0,1
54868.686888888886,680,-0.7657943053136239,0,0,1
55434.34344444444,680,-0.8137445083614793,0,0,1
56000.0,680,-0.8647054321746148,0,0,1
0.001,730,-1.1051196534065653,0,0,1
565.6575555555555,730,-1.1596116015425242,0,0,1
1131.314111111111,730,-1.203904764479418,0,0,1
1696.9706666666666,730,-1.239033381150183,0,0,1
2262.6272222222224,730,-1.2659478527115553,0,0,1
2828.2837777777777,730,-1.2855236120923472,0,0,1
3393.940333333333,730,-1.2985675436139656,0,0,1
3959.596888888889,730,-1.3058227779926692,0,0,1
4525.2534444444445,730,-1.307972448168345,0,0,1
5090.91,730,-1.3056428140202183,0,0,1
5656.566555555555,730,-1.299406039012012,0,0,1
6222.223111111111,730,-1.2897828113344598,0,0,1
6787.879666666667,730,-1.2772449352267,0,0,1
7353.536222222222,730,-1.2622179679954304,0,0,1
7919.192777777778,730,-1.245083940417092,0,0,1
8484.849333333334,730,-1.2261841698228049,0,0,1
9050.505888888889,730,-1.2058221542915517,0,0,1
9616.162444444444,730,-1.184266521640538,0,0,1
10181.819,730,-1.161753997291209,0,0,1
10747.475555555557,730,-1.138492349799449,0,0,1
11313.13211111111,730,-1.1146632712049127,0,0,1
11878.788666666667,730,-1.0904251508114189,0,0,1
12444.445222222224,730,-1.0659157050679968,0,0,1
13010.101777777778,730,-1.0412544324328104,0,0,1
13575.758333333331,730,-1.0165448700124773,0,0,1
14141.414888888889,730,-0.9918766378170968,0,0,1
14707.071444444444,730,-0.9673272659402852,0,0,1
15272.728,730,-0.9429638089624204,0,0,1
15838.384555555556,730,-0.9188442593899336,0,0,1
16404.04111111111,730,-0.8950187770440626,0,0,1
16969.697666666667,730,-0.8715307532926809,0,0,1
17535.35422222222,730,-0.848417727639078,0,0,1
18101.010777777778,730,-0.8257121699447396,0,0,1
18666.66733333333,730,-0.8034421362432856,0,0,1
19232.323888888888,730,-0.7816318009781953,0,0,1
19797.980444444445,730,-0.7603018702135834,0,0,1
20363.637,730,-0.7394698911457307,0,0,1
20929.29355555556,730,-0.7191504890077982,0,0,1
21494.95011111111,730,-0.6993555826273575,0,0,1
22060.606666666667,730,-0.6800946425435191,0,0,1
22626.26322222222,730,-0.6613750494875538,0,0,1
23191.919777777777,730,-0.643202580583849,0,0,1
23757.57633333333,730,-0.625582002209144,0,0,1
24323.232888888888,730,-0.6085177007122952,0,0,1
24888.889444444445,730,-0.5920142575054302,0,0,1
25454.546,730,-0.5760768859793916,0,0,1
26020.20255555556,730,-0.5607116883939051,0,0,1
26585.85911111111,730,-0.5459257407707138,0,0,1
27151.515666666663,730,-0.53172705139509,0,0,1
27717.172222222223,730,-0.5181244538460421,0,0,1
28282.828777777777,730,-0.5051274917417116,0,0,1
28848.48533333333,730,-0.4927463384573775,0,0,1
29414.141888888887,730,-0.4809917778047325,0,0,1
29979.798444444445,730,-0.4698752542121823,0,0,1
30545.455,730,-0.4594089851567302,0,0,1
31111.111555555555,730,-0.4496061167592007,0,0,1
31676.768111111112,730,-0.4404808977203034,0,0,1
32242.424666666662,730,-0.4320488477566713,0,0,1
32808.081222222216,730,-0.4243269029640474,0,0,1
33373.73777777777,730,-0.4173335292998461,0,0,1
33939.39433333333,730,-0.4110888037065081,0,0,1
34505.05088888889,730,-0.4056144682401246,0,0,1
35070.70744444444,730,-0.400933965200871,0,0,1
35636.363999999994,730,-0.3970724611361967,0,0,1
36202.02055555555,730,-0.3940568658204374,0,0,1
36767.67711111111,730,-0.3919158500939584,0,0,1
37333.333666666666,730,-0.3906798646228706,0,0,1
37898.990222222215,730,-0.390381160588473,0,0,1
38464.64677777777,730,-0.3910538130056801,0,0,1
39030.30333333333,730,-0.3927337475419369,0,0,1
39595.95988888889,730,-0.3954587720726038,0,0,1
40161.61644444444,730,-0.3992686145252713,0,0,1
40727.273,730,-0.4042049687143032,0,0,1
41292.92955555555,730,-0.4103115498075971,0,0,1
41858.58611111111,730,-0.4176341608301626,0,0,1
42424.242666666665,730,-0.426220771243041,0,0,1
42989.899222222215,730,-0.4361216082031786,0,0,1
43555.55577777777,730,-0.4473892606603734,0,0,1
44121.21233333333,730,-0.460078796027615,0,0,1
44686.86888888889,730,-0.4742478887992664,0,0,1
45252.52544444444,730,-0.4899569602098395,0,0,1
45818.18199999999,730,-0.5072693278377487,0,0,1
46383.83855555555,730,-0.5262513639636137,0,0,1
46949.49511111111,730,-0.5469726614916944,0,0,1
47515.151666666665,730,-0.5695062063261092,0,0,1
48080.808222222215,730,-0.5939285552505498,0,0,1
48646.46477777777,730,-0.6203200185755233,0,0,1
49212.12133333333,730,-0.6487648470797731,0,0,1
49777.777888888886,730,-0.679351423063583,0,0,1
