density,temperature,TPSA,Molecular_Weight,LogP,delta_phi
1696.9706666666666,580,31.5,18.015,-0.8247,-0.3935505294904354
2262.6272222222224,580,31.5,18.015,-0.8247,-0.6068804822894939
2828.2837777777777,580,31.5,18.015,-0.8247,-0.7832423467628042
39030.30333333333,580,31.5,18.015,-0.8247,-0.04239928742831
39595.95988888889,580,31.5,18.015,-0.8247,-0.0383160281956079
40161.61644444444,580,31.5,18.015,-0.8247,-0.0349761252301038
40727.273,580,31.5,18.015,-0.8247,-0.0323918910558327
41292.92955555555,580,31.5,18.015,-0.8247,-0.0305783754555196
41858.58611111111,580,31.5,18.015,-0.8247,-0.0295532987441672
42424.242666666665,580,31.5,18.015,-0.8247,-0.0293370081627158
42989.899222222215,580,31.5,18.015,-0.8247,-0.029952449754254
43555.55577777777,580,31.5,18.015,-0.8247,-0.0314251522197783
44121.21233333333,580,31.5,18.015,-0.8247,-0.0337832220477889
44686.86888888889,580,31.5,18.015,-0.8247,-0.0370573508111938
45252.52544444444,580,31.5,18.015,-0.8247,-0.0412808361519424
45818.18199999999,580,31.5,18.015,-0.8247,-0.0464896178903432
46383.83855555555,580,31.5,18.015,-0.8247,-0.0527223301716331
46949.49511111111,580,31.5,18.015,-0.8247,-0.0600203698270914
47515.151666666665,580,31.5,18.015,-0.8247,-0.0684279803699401
48080.808222222215,580,31.5,18.015,-0.8247,-0.0779923503932042
48646.46477777777,580,31.5,18.015,-0.8247,-0.0887637246651406
49212.12133333333,580,31.5,18.015,-0.8247,-0.1007955259597678
49777.777888888886,580,31.5,18.015,-0.8247,-0.1141444856142093
50343.43444444444,580,31.5,18.015,-0.8247,-0.1288707809465102
50909.09099999999,580,31.5,18.015,-0.8247,-0.1450381779621515
51474.74755555555,580,31.5,18.015,-0.8247,-0.1627141781830733
52040.40411111111,580,31.5,18.015,-0.8247,-0.1819701689071009
52606.06066666666,580,31.5,18.015,-0.8247,-0.2028815767146965
53171.71722222221,580,31.5,18.015,-0.8247,-0.2255280245482455
53737.37377777777,580,31.5,18.015,-0.8247,-0.2499934931773068
54303.03033333333,580,31.5,18.015,-0.8247,-0.276366488309743
54868.686888888886,580,31.5,18.015,-0.8247,-0.3047402150044883
55434.34344444444,580,31.5,18.015,-0.8247,-0.3352127613803357
56000.0,580,31.5,18.015,-0.8247,-0.3678872938959017
0.001,630,31.5,18.015,-0.8247,-0.2046306732641106
