density,temperature,delta_phi,substance
48646.46477777777,580,-0.0887637246651406,water
49212.12133333333,580,-0.1007955259597678,water
49777.777888888886,580,-0.1141444856142093,water
50343.43444444444,580,-0.1288707809465102,water
50909.09099999999,580,-0.1450381779621515,water
51474.74755555555,580,-0.1627141781830733,water
52040.40411111111,580,-0.1819701689071009,water
52606.06066666666,580,-0.2028815767146965,water
53171.71722222221,580,-0.2255280245482455,water
53737.37377777777,580,-0.2499934931773068,water
54303.03033333333,580,-0.276366488309743,water
54868.686888888886,580,-0.3047402150044883,water
55434.34344444444,580,-0.3352127613803357,water
56000.0,580,-0.3678872938959017,water
0.001,630,-0.2046306732641106,water
565.6575555555555,630,-0.4008559764223607,water
1131.314111111111,630,-0.5654013311859231,water
1696.9706666666666,630,-0.7026498646663969,water
2262.6272222222224,630,-0.8162227271654704,water
2828.2837777777777,630,-0.9091865305707943,water
3393.940333333333,630,-0.9841854848563598,water
3959.596888888889,630,-1.043528694492987,water
4525.2534444444445,630,-1.0892498088587903,water
5090.91,630,-1.1231491950859278,water
5656.566555555555,630,-1.1468248743519562,water
6222.223111111111,630,-1.1616961672872792,water
6787.879666666667,630,-1.1690226033677271,water
7353.536222222222,630,-1.1699197839846016,water
30545.455,630,-0.2468255876141269,water
31111.111555555555,630,-0.2339039753173439,water
31676.768111111112,630,-0.2216840192468022,water
32242.424666666662,630,-0.2101591833898248,water
32808.081222222216,630,-0.1993253793758934,water
33373.73777777777,630,-0.1891809113268542,water
33939.39433333333,630,-0.1797263935412921,water
34505.05088888889,630,-0.1709646403496397,water
35070.70744444444,630,-0.1629005473226129,water
35636.363999999994,630,-0.1555409865037584,water
36202.02055555555,630,-0.1488947320187963,water
36767.67711111111,630,-0.1429724226216974,water
37333.333666666666,630,-0.1377865589356979,water
37898.990222222215,630,-0.1333515275177611,water
38464.64677777777,630,-0.1296836417501858,water
39030.30333333333,630,-0.1268011901839647,water
39595.95988888889,630,-0.1247244852079862,water
40161.61644444444,630,-0.1234759077747152,water
40727.273,630,-0.1230799466607346,water
41292.92955555555,630,-0.123563232977561,water
41858.58611111111,630,-0.1249545722143823,water
