density,temperature,delta_phi,substance
26337.79288963211,150,-0.0211706273351574,methane
26454.84974247492,150,-0.0212485879484445,methane
26571.90659531773,150,-0.0213259490281507,methane
26688.96344816054,150,-0.0214026878923681,methane
26806.020301003347,150,-0.0214787999286624,methane
26923.07715384616,150,-0.0215542991845452,methane
27040.134006688968,150,-0.0216292189696595,methane
27157.190859531776,150,-0.0217036124687076,methane
27274.247712374585,150,-0.0217775533644049,methane
27391.304565217397,150,-0.0218511364697738,methane
27508.361418060205,150,-0.0219244783692249,methane
27625.418270903014,150,-0.0219977180679828,methane
27742.475123745822,150,-0.0220710176494731,methane
27859.53197658863,150,-0.0221445629403633,methane
27976.588829431443,150,-0.0222185641831245,methane
28093.64568227425,150,-0.0222932567159231,methane
28210.70253511706,150,-0.0223689016598278,methane
28327.759387959868,150,-0.0224457866133229,methane
28444.81624080268,150,-0.0225242263542237,methane
28561.87309364549,150,-0.0226045635491028,methane
28678.929946488297,150,-0.0226871694703997,methane
28795.986799331105,150,-0.0227724447214906,methane
28913.04365217392,150,-0.0228608199699325,methane
29030.10050501673,150,-0.0229527566892472,methane
29147.15735785953,150,-0.0230487479095727,methane
29264.214210702343,150,-0.0231493189775792,methane
29381.271063545155,150,-0.0232550283260696,methane
29498.327916387963,150,-0.0233664682537688,methane
29615.38476923077,150,-0.0234842657156996,methane
29732.44162207358,150,-0.02360908312474,methane
29849.498474916392,150,-0.0237416191648853,methane
29966.5553277592,150,-0.0238826096167639,methane
30083.61218060201,150,-0.0240328281960279,methane
30200.66903344482,150,-0.0241930874052286,methane
30317.72588628763,150,-0.0243642393998407,methane
30434.78273913044,150,-0.0245471768690738,methane
30551.839591973247,150,-0.0247428339322073,methane
30668.89644481606,150,-0.024952187051132,methane
30785.953297658867,150,-0.0251762559598911,methane
30903.01015050168,150,-0.0254161046119308,methane
31020.067003344484,150,-0.0256728421459143,methane
31137.123856187296,150,-0.025947623870894,methane
31254.180709030104,150,-0.026241652271692,methane
31371.237561872917,150,-0.0265561780353942,methane
31488.29441471572,150,-0.0268925010997974,methane
31605.351267558533,150,-0.0272519717248759,methane
31722.408120401346,150,-0.0276359915880486,methane
31839.46497324415,150,-0.0280460149044544,methane
31956.52182608696,150,-0.0284835495731022,methane
32073.57867892977,150,-0.0289501583500462,methane
32190.63553177258,150,-0.0294474600496792,methane
32307.692384615388,150,-0.0299771307752778,methane
32424.7492374582,150,-0.0305409051799705,methane
32541.80609030101,150,-0.031140577759402,methane
32658.862943143817,150,-0.0317780041772686,methane
32775.91979598662,150,-0.0324551026251306,methane
32892.97664882943,150,-0.033173855217814,methane
33010.03350167224,150,-0.0339363094257744,methane
33127.09035451505,150,-0.0347445795459718,methane
33244.14720735786,150,-0.0356008482126876,methane
33361.20406020067,150,-0.0365073679498493,methane
33478.26091304348,150,-0.0374664627666087,methane
33595.317765886284,150,-0.0384805297976736,methane
33712.374618729096,150,-0.0395520409902876,methane
33829.43147157191,150,-0.0406835448396867,methane
33946.48832441471,150,-0.0418776681747651,methane
34063.545177257525,150,-0.04313711799613,methane
34180.60203010034,150,-0.0444646833684272,methane
34297.65888294314,150,-0.0458632373691219,methane
34414.715735785954,150,-0.0473357390959587,methane
34531.772588628766,150,-0.0488852357353434,methane
34648.82944147157,150,-0.0505148646941233,methane
34765.88629431438,150,-0.052227855797155,methane
34882.94314715719,150,-0.05402753355332,methane
35000.0,150,-0.0559173194926645,methane
0.001,160,-0.2987689644937022,methane
117.05785284280938,160,-0.2974982022992947,methane
234.1147056856188,160,-0.2960695886275662,methane
351.17155852842814,160,-0.2945091030292303,methane
468.2284113712375,160,-0.2928421823752803,methane
585.2852642140468,160,-0.2910937069088667,methane
702.3421170568563,160,-0.2892879871842262,methane
819.3989698996656,160,-0.2874487515495841,methane
936.455822742475,160,-0.2855991338587149,methane
1053.5126755852843,160,-0.2837616611192448,methane
1170.5695284280937,160,-0.2819582408087095,methane
1287.626381270903,160,-0.2802101476120163,methane
1404.6832341137126,160,-0.2785380093562267,methane
1521.740086956522,160,-0.2769617919406351,methane
21070.234511705687,160,-0.0240680894235999,methane
21187.2913645485,160,-0.0239876905644425,methane
21304.348217391307,160,-0.0239188802356672,methane
21421.40507023412,160,-0.0238611908769585,methane
21538.461923076924,160,-0.0238141700621584,methane
21655.518775919736,160,-0.0237773796055431,methane
21772.575628762545,160,-0.0237503947433216,methane
21889.632481605357,160,-0.0237328033844377,methane
22006.68933444816,160,-0.0237242054258953,methane
22123.746187290973,160,-0.0237242121284211,methane
22240.803040133786,160,-0.0237324455490263,methane
22357.85989297659,160,-0.023748538027564,methane
22474.9167458194,160,-0.0237721317248693,methane
22591.97359866221,160,-0.0238028782104133,methane
22709.03045150502,160,-0.0238404380978231,methane
22826.087304347828,160,-0.0238844807268425,methane
22943.14415719064,160,-0.0239346838905203,methane
23060.20101003345,160,-0.0239907336066006,methane
23177.257862876257,160,-0.0240523239323022,methane
23294.314715719065,160,-0.0241191568215304,methane
23411.37156856188,160,-0.0241909420239214,methane
23528.42842140469,160,-0.0242673970248339,methane
23645.48527424749,160,-0.0243482470256594,methane
23762.542127090303,160,-0.0244332249635781,methane
23879.598979933115,160,-0.024522071569955,methane
23996.655832775923,160,-0.0246145354665113,methane
24113.71268561873,160,-0.024710373298257,methane
24230.76953846154,160,-0.0248093499022187,methane
24347.826391304352,160,-0.0249112385107661,methane
24464.88324414716,160,-0.0250158209884533,methane
24581.94009698997,160,-0.0251228881010632,methane
24698.996949832777,160,-0.0252322398155918,methane
24816.05380267559,160,-0.0253436856297958,methane
24933.1106555184,160,-0.0254570449299905,methane
25050.167508361206,160,-0.0255721473755561,methane
25167.22436120401,160,-0.0256888333089047,methane
25284.281214046827,160,-0.0258069541893074,methane
25401.338066889635,160,-0.0259263730493212,methane
25518.394919732444,160,-0.0260469649723124,methane
25635.45177257525,160,-0.0261686175897639,methane
25752.508625418064,160,-0.0262912315970726,methane
25869.565478260876,160,-0.0264147212865067,methane
25986.62233110368,160,-0.026539015096158,methane
26103.67918394649,160,-0.0266640561737376,methane
26220.7360367893,160,-0.0267898029541251,methane
26337.79288963211,160,-0.0269162297496717,methane
26454.84974247492,160,-0.027043327352333,methane
26571.90659531773,160,-0.0271711036467935,methane
26688.96344816054,160,-0.0272995842337846,methane
26806.020301003347,160,-0.0274288130629547,methane
26923.07715384616,160,-0.0275588530746194,methane
27040.134006688968,160,-0.0276897868499358,methane
27157.190859531776,160,-0.0278217172689737,methane
27274.247712374585,160,-0.0279547681763651,methane
27391.304565217397,160,-0.0280890850541896,methane
27508.361418060205,160,-0.0282248357018513,methane
27625.418270903014,160,-0.0283622109228226,methane
27742.475123745822,160,-0.0285014252180881,methane
