density,temperature,TPSA,MW,LogP,HallKierAlpha,delta_phi
90.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.303483411508699
92.0,58.75,31.5,18.015,-0.8247,-0.04,-0.3271245560818059
92.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.3526470692723172
93.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.3801382044496278
94.99999999999997,58.75,31.5,18.015,-0.8247,-0.04,-0.4096897851168609
95.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.4413983926878065
97.0,58.75,31.5,18.015,-0.8247,-0.04,-0.4753655622406566
97.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.5116979882222931
98.99999999999999,58.75,31.5,18.015,-0.8247,-0.04,-0.5505077423133232
100.0,58.75,31.5,18.015,-0.8247,-0.04,-0.5919125058574362
1.0,67.0,31.5,18.015,-0.8247,-0.04,-0.7246089948449853
2.0,67.0,31.5,18.015,-0.8247,-0.04,-0.8285357801054103
3.0,67.0,31.5,18.015,-0.8247,-0.04,-0.9154150091915207
4.0,67.0,31.5,18.015,-0.8247,-0.04,-0.9871912872313474
5.0,67.0,31.5,18.015,-0.8247,-0.04,-1.0455787788399298
6.0,67.0,31.5,18.015,-0.8247,-0.04,-1.092104959554473
6.999999999999999,67.0,31.5,18.015,-0.8247,-0.04,-1.1281407805937187
8.0,67.0,31.5,18.015,-0.8247,-0.04,-1.1549220543145944
9.0,67.0,31.5,18.015,-0.8247,-0.04,-1.173565097991811
9.999999999999998,67.0,31.5,18.015,-0.8247,-0.04,-1.1850786124986277
11.0,67.0,31.5,18.015,-0.8247,-0.04,-1.1903731048106998
12.0,67.0,31.5,18.015,-0.8247,-0.04,-1.1902687289119638
13.0,67.0,31.5,18.015,-0.8247,-0.04,-1.185502128699999
13.999999999999998,67.0,31.5,18.015,-0.8247,-0.04,-1.1767326664957702
15.0,67.0,31.5,18.015,-0.8247,-0.04,-1.1645482802512055
15.999999999999998,67.0,31.5,18.015,-0.8247,-0.04,-1.1494711119543346
17.0,67.0,31.5,18.015,-0.8247,-0.04,-1.1319629764900103
18.0,67.0,31.5,18.015,-0.8247,-0.04,-1.1124306858947794
18.999999999999996,67.0,31.5,18.015,-0.8247,-0.04,-1.091231203075932
20.0,67.0,31.5,18.015,-0.8247,-0.04,-1.0686765701472711
21.0,67.0,31.5,18.015,-0.8247,-0.04,-1.0450385451490516
22.0,67.0,31.5,18.015,-0.8247,-0.04,-1.020552901392363
23.0,67.0,31.5,18.015,-0.8247,-0.04,-0.9954234119678512
23.999999999999996,67.0,31.5,18.015,-0.8247,-0.04,-0.9698256551346304
24.999999999999996,67.0,31.5,18.015,-0.8247,-0.04,-0.9439108872158746
25.999999999999996,67.0,31.5,18.015,-0.8247,-0.04,-0.9178102417519292
26.999999999999996,67.0,31.5,18.015,-0.8247,-0.04,-0.8916393217117959
28.0,67.0,31.5,18.015,-0.8247,-0.04,-0.8655028284575064
29.0,67.0,31.5,18.015,-0.8247,-0.04,-0.8394983581385969
29.999999999999996,67.0,31.5,18.015,-0.8247,-0.04,-0.8137182144986704
30.999999999999996,67.0,31.5,18.015,-0.8247,-0.04,-0.7882483957585816
31.999999999999996,67.0,31.5,18.015,-0.8247,-0.04,-0.7631649278342919
33.0,67.0,31.5,18.015,-0.8247,-0.04,-0.738529044778852
33.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.7143833245369081
