density,temperature,delta_phi,substance
46909.09090909091,625,-0.1370530030764208,water
47469.69696969697,625,-0.1411475129023359,water
48030.30303030303,625,-0.1460491723572349,water
48590.909090909096,625,-0.1517831991365977,water
49151.51515151515,625,-0.1583765310786673,water
49712.121212121216,625,-0.1658578958272925,water
50272.72727272727,625,-0.1742578783953013,water
50833.333333333336,625,-0.1836089852597062,water
51393.93939393939,625,-0.1939457040372444,water
51954.545454545456,625,-0.2053045582216051,water
52515.15151515152,625,-0.2177241568913651,water
53075.757575757576,625,-0.2312452396961231,water
53636.36363636364,625,-0.2459107177892484,water
54196.969696969696,625,-0.2617657116828673,water
54757.57575757576,625,-0.2788575872541758,water
55318.18181818182,625,-0.2972359913250173,water
55878.78787878788,625,-0.3169528883743228,water
56439.39393939394,625,-0.3380626000254,water
57000.0,625,-0.3606218489845761,water
1500.0,695,-1.3475204358398762,water
2060.6060606060605,695,-1.4066804982637755,water
2621.212121212121,695,-1.4535117688375836,water
3181.818181818182,695,-1.4893766189952082,water
3742.4242424242425,695,-1.5155160579714473,water
4303.030303030303,695,-1.5330614813746926,water
4863.636363636364,695,-1.5430437183474357,water
5424.242424242424,695,-1.5464003390772283,water
5984.848484848485,695,-1.5439818759554766,water
6545.454545454546,695,-1.5365573986761154,water
7106.060606060606,695,-1.5248197331201707,water
7666.666666666667,695,-1.5093905057774868,water
8227.272727272728,695,-1.490825116915378,water
8787.878787878788,695,-1.469617688297805,water
9348.484848484848,695,-1.4462059891875512,water
9909.09090909091,695,-1.4209763135638258,water
10469.69696969697,695,-1.3942682595126783,water
11030.30303030303,695,-1.3663793483682571,water
11590.909090909092,695,-1.3375694190761669,water
12151.515151515152,695,-1.3080647472226494,water
12712.121212121212,695,-1.2780618711259013,water
13272.727272727274,695,-1.2477311531701574,water
13833.333333333334,695,-1.2172201420822928,water
14393.939393939394,695,-1.1866567983612972,water
14954.545454545456,695,-1.1561525746321777,water
15515.151515151516,695,-1.1258052148824556,water
16075.757575757576,695,-1.0957010154633404,water
16636.363636363636,695,-1.0659162775139222,water
17196.969696969696,695,-1.036517849462652,water
17757.57575757576,695,-1.0075629783160664,water
18318.18181818182,695,-0.9790989852681524,water
18878.78787878788,695,-0.9511633650104588,water
19439.39393939394,695,-0.9237849173850172,water
20000.0,695,-0.896985563126,water
20560.60606060606,695,-0.870782192257412,water
21121.21212121212,695,-0.8451880384281674,water
21681.818181818184,695,-0.8202133451476848,water
22242.424242424244,695,-0.7958654658073745,water
22803.030303030304,695,-0.7721487683191678,water
23363.636363636364,695,-0.7490647081753533,water
23924.242424242424,695,-0.7266122512122367,water
24484.848484848484,695,-0.7047886042752314,water
25045.454545454548,695,-0.6835900648972459,water
25606.060606060608,695,-0.6630127747521624,water
26166.666666666668,695,-0.6430532302593114,water
26727.272727272728,695,-0.6237085078487711,water
27287.878787878788,695,-0.6049762487604279,water
27848.484848484848,695,-0.5868544949995865,water
28409.09090909091,695,-0.5693414762268586,water
28969.69696969697,695,-0.5524354302322898,water
29530.303030303032,695,-0.5361345100710363,water
30090.90909090909,695,-0.5204367979970664,water
30651.515151515152,695,-0.50534041678987,water
