density,temperature,TPSA,MW,delta_phi
81.25125389399038,6.351351351351352,0.0,16.043,-0.020550243743883
81.54096961201923,6.351351351351352,0.0,16.043,-0.0209710336976103
81.83068533004807,6.351351351351352,0.0,16.043,-0.0214247715342322
82.12040104807691,6.351351351351352,0.0,16.043,-0.0219132605447758
82.41011676610577,6.351351351351352,0.0,16.043,-0.0224383653591488
82.6998324841346,6.351351351351352,0.0,16.043,-0.0230020133152455
82.98954820216345,6.351351351351352,0.0,16.043,-0.023606195865326
83.2792639201923,6.351351351351352,0.0,16.043,-0.0242529700211743
83.56897963822115,6.351351351351352,0.0,16.043,-0.0249444598395576
83.85869535625,6.351351351351352,0.0,16.043,-0.0256828579496717
84.14841107427884,6.351351351351352,0.0,16.043,-0.026470427124134
