temperature,density,real_ufrac,delta_phi,stable,argon,water,methane
120,33266.53323446894,0.9718996742917376,-0.0176231733789307,0,1,0,0
120,33346.69355310621,0.972073099099558,-0.0176543376559337,0,1,0,0
120,33426.853871743486,0.9722433926604488,-0.017685004332574,0,1,0,0
120,33507.01419038076,0.9724106500041524,-0.0177151346149506,0,1,0,0
120,33587.174509018034,0.9725749651769008,-0.0177446899977268,0,1,0,0
120,33667.33482765531,0.9727364312396662,-0.0177736322705951,0,1,0,0
120,33747.49514629258,0.9728951402658146,-0.0178019235253983,0,1,0,0
120,33827.655464929856,0.9730511833381418,-0.01782952616393,0,1,0,0
120,33907.81578356714,0.9732046505453568,-0.017856402906344,0,1,0,0
120,33987.97610220441,0.9733556309779569,-0.0178825168002247,0,1,0,0
120,34068.136420841685,0.9735042127235676,-0.0179078312302439,0,1,0,0
120,34148.29673947896,0.9736504828616934,-0.0179323099284554,0,1,0,0
120,34228.45705811623,0.9737945274579572,-0.0179559169851447,0,1,0,0
120,34308.61737675351,0.9739364315577956,-0.017978616860266,0,1,0,0
120,34388.77769539078,0.9740762791796338,-0.0180003743954388,0,1,0,0
120,34468.938014028055,0.9742141533075468,-0.0180211548264962,0,1,0,0
120,34549.09833266533,0.9743501358834188,-0.0180409237965678,0,1,0,0
120,34629.2586513026,0.9744843077986244,-0.0180596473696753,0,1,0,0
120,34709.41896993988,0.974616748885198,-0.0180772920448676,0,1,0,0
120,34789.57928857715,0.9747475379065652,-0.0180938247708213,0,1,0,0
120,34869.739607214426,0.9748767525478044,-0.0181092129609368,0,1,0,0
120,34949.89992585171,0.975004469405407,-0.0181234245089574,0,1,0,0
120,35030.06024448898,0.975130763976674,-0.018136427804974,0,1,0,0
120,35110.220563126255,0.9752557106486028,-0.0181481917519557,0,1,0,0
120,35190.38088176353,0.9753793826863896,-0.0181586857826819,0,1,0,0
120,35270.5412004008,0.975501852221486,-0.0181678798771357,0,1,0,0
120,35350.70151903808,0.975623190239268,-0.0181757445802939,0,1,0,0
120,35430.86183767535,0.975743466566263,-0.0181822510203718,0,1,0,0
120,35511.022156312625,0.975862749857034,-0.0181873709274177,0,1,0,0
120,35591.1824749499,0.9759811075806156,-0.0181910766523619,0,1,0,0
