,temperature,density,real_ufrac,delta_phi,stable,pres
42,555,44106.06060606061,0.9930268728515645,0.025825568126599974,1,-1607.9775929748514
43,555,44666.66666666667,0.9959171246948468,0.02628989923754954,1,-1533.5849304097667
44,555,45227.27272727273,0.9980838411307091,0.0261894427103605,1,-1450.0435605795496
45,555,45787.87878787879,0.9995260172514703,0.025514673323135062,1,-1356.943724876946
46,555,46348.48484848485,1.0002404974605512,0.024254203618192638,1,-1253.869255570875
47,555,46909.09090909091,1.0002220053010626,0.02239482031629103,1,-1140.3986243909806
48,555,47469.69696969697,0.9994631575674318,0.019921502906345867,1,-1016.1061448112708
49,555,48030.30303030303,0.9979544638669894,0.016817425758490767,1,-880.5632623578313
50,555,48590.909090909096,0.9956843134712264,0.013063945777340602,1,-733.339849949733
51,555,49151.51515151515,0.9926389518567481,0.008640578167472102,1,-574.0054212268523
52,555,49712.121212121216,0.9888024496863035,0.0035249632271855402,1,-402.1301809357059
53,555,50272.72727272727,0.9841566670861169,-0.0023071728147441295,1,-217.285844559065
54,555,50833.333333333336,0.9786812159531445,-0.008882060035112826,1,-19.04617661354859
55,555,51393.93939393939,0.9723534227116248,-0.01622792756355218,1,193.0127839793538
56,555,51954.545454545456,0.9651482934844133,-0.02437504474202945,1,419.31282414819816
57,555,52515.15151515152,0.957038483104367,-0.03335575914670619,1,660.2739777483565
58,555,53075.757575757576,0.9479942688136366,-0.0432045305086296,1,916.3152473999014
59,555,53636.36363636364,0.9379835289254073,-0.053957960151924,1,1187.8555945123414
60,555,54196.969696969696,0.9269717261857058,-0.06565481611380175,1,1475.3151553686246
61,555,54757.57575757576,0.9149218950954464,-0.07833605459666282,1,1779.1166345615316
62,555,55318.18181818182,0.9017946320508563,-0.09204483881280223,1,2099.686823337488
63,555,55878.78787878788,0.8875480868389601,-0.10682655661159157,1,2437.458189266977
64,555,56439.39393939394,0.8721379537882863,-0.12272883852303229,1,2792.870484818778
65,555,57000.0,0.8555174607183922,-0.1398015780152685,1,3166.3723255139294
66,625,1500.0,-0.532119288203041,-0.5684910602510554,1,-10.440591484743818
67,625,2060.6060606060605,-0.6863740858747036,-0.7369189035081116,1,-19.566520678712475
68,625,2621.212121212121,-0.8116470492098342,-0.8766700131309392,1,-31.337240768184074
69,625,3181.818181818182,-0.9117227570401278,-0.9915212755349904,1,-45.57064178904338
70,625,3742.4242424242425,-0.9898606466287618,-1.084723610535051,1,-62.06410471216205
71,625,4303.030303030303,-1.0489025237327194,-1.1591094582094872,1,-80.60603278940425
72,625,4863.636363636364,-1.0913469306291756,-1.2171671276041598,1,-100.98540621228378
73,625,5424.242424242424,-1.1194024055204,-1.2610940411802332,1,-122.99934411069746
74,625,5984.848484848485,-1.1350270931146302,-1.2928363352887162,1,-146.45876232703267
75,625,6545.454545454546,-1.139959494455952,-1.3141196052177362,1,-171.19232459416193
76,625,31772.727272727272,0.5747874410853571,-0.2792406919320233,1,-1476.7611793001897
77,625,32333.333333333336,0.5965951305650067,-0.2658211153211397,1,-1494.2475572126255
78,625,32893.93939393939,0.6173650123102946,-0.2530702590246128,1,-1509.3799560841935
79,625,33454.545454545456,0.637119917097315,-0.24097245034633952,1,-1521.958108041474
80,625,34015.15151515152,0.655880799802044,-0.22951451875583373,1,-1531.768222168979
81,625,34575.757575757576,0.6736669655463052,-0.21868549944892324,1,-1538.582712311072
82,625,35136.36363636364,0.6904962557821284,-0.20847637786979023,1,-1542.1599322890575
83,625,35696.969696969696,0.7063851927576195,-0.19887987729550083,1,-1542.244380686931
84,625,36257.57575757576,0.721349075447044,-0.1898902968832631,1,-1538.5674359777797
85,625,36818.181818181816,0.7354020252686222,-0.18150340227724793,1,-1530.8484528273689
86,625,37378.78787878788,0.748556987395258,-0.1737163633274792,1,-1518.7959728100934
87,625,37939.39393939394,0.7608256988714391,-0.16652772800373727,1,-1502.108827588694
