r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
6.295213103294372559e-01,5.951829552650451660e-01,1.872668713331222534e-01,5.021969676017761230e-01,7.013000011444091797e+00,1.580310821533203125e+00,-1.000000000000000000e+00,9.680000000000000000e+02,2.800000000000000000e+01,7.450000000000000000e+02,1.800000000000000000e+01,2.768589735031127930e+00,2.705982685089111328e+00,3.529999852180480957e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.799570083618164062e+00,2.200000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.900805830955505371e-01,5.055429339408874512e-01,6.817999839782714844e+00,1.855421662330627441e+00,-1.000000000000000000e+00,9.610000000000000000e+02,2.700000000000000000e+01,7.460000000000000000e+02,1.300000000000000000e+01,2.768137454986572266e+00,2.703092813491821289e+00,3.379999995231628418e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.555137157440185547e+00,2.400000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.913599073886871338e-01,5.023137927055358887e-01,6.544499874114990234e+00,1.754098415374755859e+00,-1.000000000000000000e+00,9.620000000000000000e+02,2.900000000000000000e+01,7.480000000000000000e+02,1.600000000000000000e+01,2.768420696258544922e+00,2.698644638061523438e+00,3.364999890327453613e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.431097984313964844e+00,2.600000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.862929761409759521e-01,5.054233074188232422e-01,7.042500019073486328e+00,1.937500000000000000e+00,-1.000000000000000000e+00,9.760000000000000000e+02,2.900000000000000000e+01,7.520000000000000000e+02,1.600000000000000000e+01,2.768337011337280273e+00,2.702172994613647461e+00,3.510000109672546387e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.612588644027709961e+00,2.800000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.839973479509353638e-01,5.059008002281188965e-01,6.956500053405761719e+00,2.090395450592041016e+00,-1.000000000000000000e+00,9.770000000000000000e+02,3.300000000000000000e+01,7.590000000000000000e+02,2.700000000000000000e+01,2.768099784851074219e+00,2.698041915893554688e+00,3.519999980926513672e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.614637613296508789e+00,3.000000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.885027736425399780e-01,5.067493915557861328e-01,6.783500194549560547e+00,1.981132030487060547e+00,-1.000000000000000000e+00,9.510000000000000000e+02,2.500000000000000000e+01,7.310000000000000000e+02,1.400000000000000000e+01,2.768311977386474609e+00,2.694433212280273438e+00,3.379999995231628418e-01,0.000000000000000000e+00,5.000000000000000000e-01,1.685630035400390625e+01,3.200000000000000000e+04
6.295213103294372559e-01,6.038740277290344238e-01,1.892381161451339722e-01,5.027354955673217773e-01,6.998499870300292969e+00,1.705263137817382812e+00,-1.000000000000000000e+00,9.730000000000000000e+02,2.900000000000000000e+01,7.390000000000000000e+02,1.500000000000000000e+01,2.767743110656738281e+00,2.704592704772949219e+00,3.564999997615814209e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.829277038574218750e+00,3.400000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.897207647562026978e-01,5.045082569122314453e-01,6.852499961853027344e+00,2.037735939025878906e+00,-1.000000000000000000e+00,1.004000000000000000e+03,2.900000000000000000e+01,7.560000000000000000e+02,1.700000000000000000e+01,2.767563819885253906e+00,2.690196037292480469e+00,3.504999876022338867e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.786717653274536133e+00,3.600000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.877100318670272827e-01,5.057899355888366699e-01,7.030000209808349609e+00,2.208588838577270508e+00,-1.000000000000000000e+00,9.750000000000000000e+02,3.400000000000000000e+01,7.380000000000000000e+02,2.200000000000000000e+01,2.767548561096191406e+00,2.695607662200927734e+00,3.490000069141387939e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.005127906799316406e+00,3.800000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.915300488471984863e-01,5.027472376823425293e-01,6.376500129699707031e+00,1.623595476150512695e+00,-1.000000000000000000e+00,9.430000000000000000e+02,2.400000000000000000e+01,7.060000000000000000e+02,1.200000000000000000e+01,2.767267227172851562e+00,2.700162410736083984e+00,3.314999938011169434e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.095300674438476562e+00,4.000000000000000000e+04
