r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.7096882302749071,1,0,1/(-4.9476804855052344*x5*exp(3.136476821419058*x2*(-x4 + tanh(-x1 + x2)) - x3) + 2.967783793482487*exp(x2) + sin(x2 - 3.80145428636239) + 2.967783793482487*sin(sin(sin(exp(x2)) - 0.4636540799709811)) - 2.967783793482487*cos(x2*(-0.7346777591731076*x2 + 7.275263329994731*x5 - 0.52449864883106983) + 0.5762651133189148*x3) - 5.9763350210426385),"inv,add,add,sin,sub,x2,3.80145428636239,-5.9763350210426385,sub,mul,sub,sin,sin,sub,0.4636540799709811,sin,exp,x2,sub,exp,x2,cos,sub,mul,x3,sub,0.7118506538677853,1.2881157671867,mul,x2,sub,mul,-0.7346777591731076,x2,mul,add,x5,mul,-0.0981600570952473,sin,mul,sub,0.767983229373569,sub,1.2317908682406231,0.7679841867964521,2.7117556305294026,-7.275263329994731,-2.967783793482487,mul,exp,sub,add,1.5989188779717431,mul,mul,x2,3.136476821419058,sub,tanh,sub,sub,add,x2,x2,x2,x1,x4,x3,x5",0.16733780996050893,0.16733780996050893,False
0.7082877318118439,1,0,(9.2364209076840814*x2 - 5.2146266649268669*x3 - exp(x2) - 5.2146266649268669*tanh(x2 + x5) + 4.7145788283825589)*cos(sin((1.8848436903784272 - x1)*(tanh(0.29401202017607864 - x2) + 0.8338519696256392)) - 2.6644182827210838),"mul,add,cos,sub,exp,exp,-0.020217244784079384,sin,mul,sub,sub,1.2949433587498735,sub,0.7050430271213198,1.2949433587498735,x1,sub,tanh,sub,0.29401202017607864,x2,cos,3.726339284054954,sub,x2,x2,sub,sub,sin,1.4254740113183573,sub,x2,1.6278265001223122,sub,sub,exp,x2,exp,1.6682450452091901,mul,sub,2.4048740058890568,sub,-0.4048786531487533,2.4048740058890568,add,x2,sub,sub,sub,add,x2,mul,x2,-0.036979142431542954,sub,0.8715584433759623,sub,1.1283920931721536,tanh,add,x5,x2,0.8715584457407143,x3",0.16962503458864656,0.16962503458864656,False
0.7082719757957596,1,0,-0.5186616744889344*x2 + sin((x2 - cos(x5) - 6.142457167582139)*tanh((-x2 + x5)*(sin(x1*x2) - 0.23603075413323227)) + 0.5401978425701375) - 0.9858350668505098,"add,sub,-0.9858350668505098,mul,x2,0.5186616744889344,sin,add,mul,add,-6.142457167582139,sub,x2,cos,x5,tanh,mul,sub,x5,x2,sub,sin,mul,x2,x1,0.23603075413323227,cos,1.0001241387249387",0.16965090647929795,0.16965090647929795,False
0.707473226043426,1,0,-0.9999987581752312*sin(x2*(1.3432369687549477 - x5)) + sin(sin(x2) + sin(x1 + x2/(x3 + tanh(-0.21996677129917569*x2**2 + 0.052275292915885551*x2 + x2/(x3 - x4*(-x1 + x3 - x4) + 6.476893657144457) + x3 + 0.057623840449663785 + 0.21996677129917569*tanh(1))) + 1.0)) - 0.9157346584296556,"add,sub,mul,cos,sub,-2.889807915277639,exp,-1.372941120387537,sin,mul,sub,1.3432369687549477,x5,x2,0.9157346584296556,sin,sub,sin,x2,sin,sub,tanh,-43.91946026456027,add,div,x2,add,tanh,add,sub,tanh,sin,2.0978455822156072,sub,sub,sub,mul,sub,add,sub,mul,x2,x2,tanh,cos,sub,1.0,1.0,2.913349665216507,mul,x2,-8.854631522663139,mul,0.31181811091252565,sin,0.7830338081138343,div,x2,add,sub,6.476893657144457,mul,sub,sub,x3,x1,x4,x4,x3,x2,x3,x2,x3,x1",0.17096658058547262,0.17096658058547262,False
0.7062469180210527,1,0,0.4252258165377449*(-x1*exp(tanh((sin(sin(6.032395859805452*x2)) + 0.5178742877092978)*exp(x5))) - 1.6883514109298747)*exp(x2) + sin(log(tanh(x1) + 0.4375382483036549) - tanh(sin(0.10781319934601427*sin(-(x2 + 4.783300772590799)*(-sin(x5 - 0.26451602156399384) - 0.4840973090161154/(6.0887859354430578*x2 + 0.19634965250773014)))))) + 1.3918956416899864,"add,add,1.6958364749979369,sub,sin,add,tanh,sin,mul,sin,mul,add,4.783300772590799,x2,sub,sin,sub,0.26451602156399384,x5,div,0.4840973090161154,div,add,x2,0.03224775096210416,mul,sub,add,0.788412730644096,tanh,1.0018468098903923,1.2115178327507437,0.48409662888889243,tanh,0.10823386600859729,log,add,tanh,x1,0.4375382483036549,0.30394083330795046,mul,div,0.5656293083656069,1.3301857186636719,mul,exp,x2,sub,-1.6883514109298747,mul,exp,tanh,mul,exp,x5,sub,sin,sin,mul,x2,6.032395859805452,-0.5178742877092978,x1",0.17300224240648662,0.17300224240648662,False
0.7061761569828164,1,0,log(exp(-0.68417151360714857*x3 + 0.68417151360714857*(-0.002159647274848864*x5*(-x2*(58.65020381887705*x1 - 1.7216109470577265*x2 + 62.067628208579*x4 + x5 + 17.910706526011676*tanh(x2) + 15.113213259575026)/sin(-0.12663975167412797*x2*(x2 - 0.8322009292590699) + x2 + 2.114334784977942) - tanh(x2)) + 0.09213967093771826)*(x2 - tanh(x1 - 1.2818688614579015) - 14.494826998935132) + sin(exp(x2)))),"log,exp,add,sin,exp,x2,mul,sub,1.3416368679556856,0.657465354348537,sub,mul,sub,x2,add,tanh,sub,x1,1.2818688614579015,14.494826998935132,sub,0.09213967093771826,mul,0.002159647274848864,mul,sub,div,mul,x2,sub,add,15.113213259575026,sub,x5,mul,sub,x2,sub,mul,36.05206409418692,x4,mul,-10.403457620097905,tanh,x2,1.7216109470577265,mul,-58.65020381887705,x1,sin,sub,sub,sub,mul,mul,sub,x2,0.8322009292590699,x2,0.12663975167412797,x2,1.0571676008614053,1.0571671841165367,tanh,x2,x5,x3",0.17312028928511045,0.17312028928511045,False
0.7060850213897174,1,0,(0.0025271578763434301*x1 + 0.1191168370995897*tanh(x2 - 0.8796866068014197*(x5 + 1.5681104058709643)*exp(x2) + 1.719315090493019) + 0.011380276577214368)*exp(-(x2 + 2.455672655562167)*cos(x1 + x2 - x5 + 2.3954135542550556)),"div,div,sub,tanh,sub,x2,add,-1.719315090493019,mul,add,x5,1.5681104058709643,exp,mul,sub,x2,0.12818956357349715,cos,sub,1.0,1.0,mul,add,x1,4.503191780673633,-0.021215790629418366,8.395118812329883,exp,mul,cos,add,add,x1,sin,4.557339153268637,sub,sub,x2,x5,-3.3834173914876864,sub,x2,-2.455672655562167",0.17327242014997074,0.17327242014997074,False
0.70524290130278,1,0,x2*(2.5984908722231497*x5*(-x1 + 2*x2 - tanh(0.7883634241271347 - x5) - 2.0036485878709559 + 2.4171105108327502*exp(-2*x2)) + 2.5984908722231497*cos(x2 - 0.13836195767680268) - 3.0266030958883122),"mul,mul,2.5984908722231497,sub,mul,sub,x2,add,sub,cos,0.6514310423890084,sub,add,0.3957833789785494,mul,exp,sub,sub,0.6610634630663933,x2,x2,1.2479589289663826,add,x1,sub,1.6042150305475442,x2,tanh,sub,0.7883634241271347,x5,x5,sub,1.1647541764496903,cos,sub,0.13836195767680268,x2,x2",0.1746831840169466,0.1746831840169466,False
0.7045948507773409,1,0,x1 - 1.7134725694586222*x2 - 2.1310323379819414*x5 + 3.019285835491437*cos(x2*x3 + x4 + 2.2697071053881404) + 8.781209244555781*tanh(-x1*(0.12162226131868743 - sin(x2*cos(x2 - 2.4379187265610046))) + tanh(0.12160496199606223*exp(2.3694809146182836*cos(x2)))) - 2.1310323379819414/(x2**2 + exp(x2)),"add,add,mul,-2.1310323379819414,add,x5,inv,add,exp,x2,mul,x2,x2,mul,sub,-1.3158030528885556,sin,exp,1.0052598191185127,x2,add,mul,3.019285835491437,add,mul,mul,tanh,sub,tanh,mul,sin,3.123774161538736,exp,sub,mul,cos,x2,2.3694809146182836,-1.9205938942821028,mul,x1,sub,0.12162226131868743,sin,mul,cos,sub,sub,add,x2,0.9998021130338375,1.0001536977659353,exp,0.8910004688762039,x2,5.405758686082559,sin,exp,0.9452721132475798,cos,add,2.2697071053881404,add,mul,x2,x3,x4,x1",0.17577503476057152,0.17577503476057152,False
0.7040210728546182,1,0,cos(cos(2.7182572539704067*(x2 + sin(x4) + 2.5217765870635483)*(0.13590389073265388*x1 - 0.7636270885327394*x2**3 + x2*tanh(x2 + 0.30947471214308886) + 1.8393548423673904*x3 - 0.08605994837485686)*exp(-0.79866080196584*tanh(x2))) - 2.654053036224455),"cos,sub,add,0.1695651631785932,sub,cos,mul,mul,add,add,x2,sin,x4,add,sin,2.9248624778570247,2.306739138085907,sub,exp,sub,sin,1.5750485035631643,mul,0.79866080196584,tanh,x2,mul,1.0,tanh,sub,x2,x2,sub,-0.08605994837485686,sub,mul,-0.13590389073265388,x1,add,add,mul,x3,1.8393548423673904,mul,x2,tanh,add,0.30947471214308886,x2,mul,mul,x2,mul,-0.7636270885327394,x2,x2,tanh,exp,1.048576634813391,1.830240301482365",0.17674627346841304,0.17674627346841304,False
