r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
6.066592931747436523e-01,6.012920737266540527e-01,1.254957318305969238e-01,5.016161203384399414e-01,7.782999992370605469e+00,1.802631616592407227e+00,-1.000000000000000000e+00,5.620000000000000000e+02,6.000000000000000000e+00,4.300000000000000000e+02,5.000000000000000000e+00,2.823339462280273438e+00,2.687115669250488281e+00,3.100000023841857910e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.258072853088378906e+00,1.800000000000000000e+04
6.066592931747436523e-01,5.479122400283813477e-01,1.268356740474700928e-01,5.005989074707031250e-01,7.264999866485595703e+00,1.237499952316284180e+00,-1.000000000000000000e+00,4.920000000000000000e+02,3.000000000000000000e+00,3.510000000000000000e+02,2.000000000000000000e+00,2.823577880859375000e+00,2.691530704498291016e+00,2.649999856948852539e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.933174610137939453e+00,1.900000000000000000e+04
6.066592931747436523e-01,5.706725120544433594e-01,1.231273189187049866e-01,5.015348196029663086e-01,7.885000228881835938e+00,1.412698388099670410e+00,-1.000000000000000000e+00,5.580000000000000000e+02,6.000000000000000000e+00,4.230000000000000000e+02,5.000000000000000000e+00,2.823931217193603516e+00,2.662275314331054688e+00,2.809999883174896240e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.225953102111816406e+00,2.000000000000000000e+04
6.066592931747436523e-01,5.000000000000000000e-01,1.197805851697921753e-01,5.000000000000000000e-01,7.421000003814697266e+00,1.030769228935241699e+00,-1.000000000000000000e+00,5.480000000000000000e+02,2.000000000000000000e+00,4.040000000000000000e+02,0.000000000000000000e+00,2.823940753936767578e+00,2.659087419509887695e+00,3.009999990463256836e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.481846809387207031e+00,2.100000000000000000e+04
6.066592931747436523e-01,6.017528772354125977e-01,1.268290281295776367e-01,5.028796195983886719e-01,7.524000167846679688e+00,1.708860754966735840e+00,-1.000000000000000000e+00,5.340000000000000000e+02,8.000000000000000000e+00,4.040000000000000000e+02,6.000000000000000000e+00,2.823758125305175781e+00,2.691571712493896484e+00,2.899999916553497314e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.829062461853027344e+00,2.200000000000000000e+04
6.066592931747436523e-01,5.795996189117431641e-01,1.230405494570732117e-01,5.027670264244079590e-01,7.448999881744384766e+00,1.594936728477478027e+00,-1.000000000000000000e+00,5.180000000000000000e+02,9.000000000000000000e+00,3.890000000000000000e+02,8.000000000000000000e+00,2.822885274887084961e+00,2.692212104797363281e+00,2.890000045299530029e-01,0.000000000000000000e+00,5.000000000000000000e-01,7.208519935607910156e+00,2.300000000000000000e+04
6.066592931747436523e-01,5.447590947151184082e-01,1.307039409875869751e-01,5.012229681015014648e-01,7.203999996185302734e+00,1.611940264701843262e+00,-1.000000000000000000e+00,5.450000000000000000e+02,6.000000000000000000e+00,4.050000000000000000e+02,5.000000000000000000e+00,2.822817802429199219e+00,2.667477369308471680e+00,2.660000026226043701e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.149986267089843750e+00,2.400000000000000000e+04
6.066592931747436523e-01,5.760730504989624023e-01,1.190900281071662903e-01,5.023215413093566895e-01,7.717000007629394531e+00,1.587301611900329590e+00,-1.000000000000000000e+00,5.200000000000000000e+02,4.000000000000000000e+00,3.950000000000000000e+02,3.000000000000000000e+00,2.822018623352050781e+00,2.667355060577392578e+00,2.939999997615814209e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.088957786560058594e+00,2.500000000000000000e+04
6.066592931747436523e-01,6.012926697731018066e-01,1.309739649295806885e-01,5.018451213836669922e-01,6.664000034332275391e+00,1.391304373741149902e+00,-1.000000000000000000e+00,4.970000000000000000e+02,5.000000000000000000e+00,3.550000000000000000e+02,4.000000000000000000e+00,2.822382450103759766e+00,2.671582698822021484e+00,2.460000067949295044e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.774983406066894531e+00,2.600000000000000000e+04
6.066592931747436523e-01,5.600033402442932129e-01,1.197451651096343994e-01,5.017040967941284180e-01,7.159999847412109375e+00,1.676470637321472168e+00,-1.000000000000000000e+00,5.560000000000000000e+02,6.000000000000000000e+00,3.870000000000000000e+02,4.000000000000000000e+00,2.821754932403564453e+00,2.674062252044677734e+00,2.820000052452087402e-01,0.000000000000000000e+00,5.000000000000000000e-01,1.191971302032470703e+01,2.700000000000000000e+04
6.066592931747436523e-01,5.797810554504394531e-01,1.203163117170333862e-01,5.023418664932250977e-01,7.723000049591064453e+00,1.307692289352416992e+00,-1.000000000000000000e+00,5.360000000000000000e+02,5.000000000000000000e+00,3.920000000000000000e+02,4.000000000000000000e+00,2.821261882781982422e+00,2.650494575500488281e+00,2.849999964237213135e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.077431678771972656e+00,2.800000000000000000e+04
6.066592931747436523e-01,5.873256921768188477e-01,1.179354637861251831e-01,5.045942068099975586e-01,7.481999874114990234e+00,1.767857193946838379e+00,-1.000000000000000000e+00,5.460000000000000000e+02,7.000000000000000000e+00,3.920000000000000000e+02,5.000000000000000000e+00,2.820794343948364258e+00,2.642349243164062500e+00,2.930000126361846924e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.766220092773437500e+00,2.900000000000000000e+04
6.066592931747436523e-01,5.590663552284240723e-01,1.274809241294860840e-01,5.008633732795715332e-01,7.441999912261962891e+00,1.529411792755126953e+00,-1.000000000000000000e+00,5.400000000000000000e+02,6.000000000000000000e+00,4.080000000000000000e+02,5.000000000000000000e+00,2.820548534393310547e+00,2.696483135223388672e+00,2.919999957084655762e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.776256561279296875e+00,3.000000000000000000e+04
6.066592931747436523e-01,6.019539237022399902e-01,1.276337951421737671e-01,5.077725052833557129e-01,7.539000034332275391e+00,2.345454454421997070e+00,-1.000000000000000000e+00,5.710000000000000000e+02,9.000000000000000000e+00,4.230000000000000000e+02,8.000000000000000000e+00,2.819416999816894531e+00,2.642634630203247070e+00,2.930000126361846924e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.700709342956542969e+00,3.100000000000000000e+04
